"GM18558","GM18960","GM19240","Guchi","Jaqo","Jingjing"
"ENSG00000116691",36,87,10,13,22,100
"ENSG00000156171",61,56,41,48,48,27
"ENSG00000117174",34,36,27,25,28,9
"ENSG00000069248",21,36,30,25,22,33
"ENSG00000116120",48,110,43,38,43,33
"ENSG00000164190",27,23,36,9,22,11
"ENSG00000117322",29,69,83,3,5,14
"ENSG00000067533",50,71,34,34,40,8
"ENSG00000160789",398,353,184,93,161,2395
"ENSG00000198952",53,56,72,28,45,15
"ENSG00000160803",21,35,24,8,21,11
"ENSG00000138378",2,7,12,16,29,32
"ENSG00000172292",29,20,29,16,19,8
"ENSG00000164105",36,56,29,21,20,42
"ENSG00000068796",27,39,59,11,24,18
"ENSG00000115392",17,25,26,11,5,27
"ENSG00000115446",35,39,48,20,36,6
"ENSG00000131779",32,49,46,12,14,12
"ENSG00000125630",25,30,31,16,28,5
"ENSG00000120949",17,80,62,25,10,9
"ENSG00000122203",25,17,51,17,24,11
"ENSG00000156931",10,9,29,7,11,13
"ENSG00000186063",22,29,8,24,34,11
"ENSG00000159352",152,177,227,178,151,347
"ENSG00000047579",26,28,47,10,21,33
"ENSG00000153395",60,118,34,26,41,12
"ENSG00000127603",21,27,59,22,19,15
"ENSG00000197386",23,33,40,16,17,14
"ENSG00000184584",3,5,31,7,16,96
"ENSG00000082898",83,112,68,66,56,6
"ENSG00000162643",8,4,30,3,2,11
"ENSG00000116663",14,23,20,5,9,3
"ENSG00000075568",11,18,43,12,15,9
"ENSG00000197603",3,5,16,3,3,6
"ENSG00000174891",14,18,31,19,22,21
"ENSG00000163659",30,39,40,21,35,12
"ENSG00000073578",84,140,84,64,71,277
"ENSG00000116260",16,15,27,14,21,17
"ENSG00000152127",13,11,20,16,16,4
"ENSG00000119004",5,8,13,3,6,11
"ENSG00000145241",11,17,36,6,8,14
"ENSG00000125459",37,61,87,26,29,33
"ENSG00000168827",40,57,43,22,30,3
"ENSG00000087008",9,14,22,8,6,14
"ENSG00000153107",24,39,55,19,25,12
"ENSG00000071539",8,17,14,8,5,10
"ENSG00000136636",7,6,26,5,6,10
"ENSG00000083444",27,50,24,20,20,3
"ENSG00000115866",102,147,132,70,73,147
"ENSG00000143390",44,68,58,22,28,15
"ENSG00000151292",17,21,16,6,11,1
"ENSG00000114742",22,30,50,21,22,16
"ENSG00000158417",126,156,72,85,64,209
"ENSG00000162777",41,86,41,3,15,5
"ENSG00000117625",17,13,35,4,15,16
"ENSG00000170502",39,48,60,14,9,17
"ENSG00000143373",15,21,19,8,9,3
"ENSG00000117000",5,4,31,1,4,9
"ENSG00000115548",19,18,33,9,16,15
"ENSG00000136628",75,111,90,43,74,41
"ENSG00000163479",209,174,242,123,277,144
"ENSG00000116030",84,152,88,59,91,20
"ENSG00000134255",45,54,49,23,34,14
"ENSG00000169228",51,54,82,29,26,62
"ENSG00000065183",36,57,47,27,30,5
"ENSG00000163956",75,52,30,29,47,42
"ENSG00000162819",12,11,52,6,10,7
"ENSG00000163904",21,26,51,11,16,6
"ENSG00000165671",9,13,15,9,9,3
"ENSG00000145494",51,109,88,36,23,620
"ENSG00000116586",46,58,87,20,34,508
"ENSG00000133835",41,63,49,24,28,22
"ENSG00000163898",15,6,23,3,4,10
"ENSG00000171824",54,78,50,25,31,18
"ENSG00000033178",26,34,38,14,22,10
"ENSG00000198771",11,41,39,16,14,14
"ENSG00000163820",2,4,32,4,3,2
"ENSG00000122484",16,17,54,9,14,7
"ENSG00000128050",126,227,168,122,84,90
"ENSG00000013441",73,86,72,35,51,17
"ENSG00000085760",18,32,32,236,196,1347
"ENSG00000041988",13,13,30,4,10,11
"ENSG00000128989",34,31,44,16,22,33
"ENSG00000077549",224,373,411,171,143,83
"ENSG00000163527",57,100,66,40,45,16
"ENSG00000125637",29,36,41,23,25,3
"ENSG00000157216",26,33,20,6,16,7
"ENSG00000160752",101,182,246,95,51,177
"ENSG00000082781",2,4,33,14,21,10
"ENSG00000136717",23,37,30,2,9,22
"ENSG00000169905",6,5,43,3,6,11
"ENSG00000118640",81,232,87,40,27,367
"ENSG00000127483",42,63,69,18,38,6
"ENSG00000116288",262,448,527,88,65,220
"ENSG00000187118",9,27,34,12,14,9
"ENSG00000130414",73,133,117,55,58,60
"ENSG00000023228",44,67,47,34,46,36
"ENSG00000010810",16,9,18,10,1,18
"ENSG00000143033",24,34,20,11,16,12
"ENSG00000115806",94,106,67,31,62,24
"ENSG00000135899",19,45,39,22,17,33
"ENSG00000156976",255,355,240,115,194,76
"ENSG00000158793",31,26,58,16,12,22
"ENSG00000185404",19,29,49,17,5,10
"ENSG00000135587",12,24,31,24,16,42
"ENSG00000115425",12,11,14,12,8,29
"ENSG00000060971",35,54,59,19,24,33
"ENSG00000126522",24,44,20,13,15,88
"ENSG00000163344",41,107,69,9,14,29
"ENSG00000134851",35,43,68,22,65,36
"ENSG00000204104",9,7,12,6,11,3
"ENSG00000116062",22,70,42,28,34,42
