"GM18558","GM18960","GM19240","Judith","Leo","Maryke"
"ENSG00000151914",17,20,55,29,21,32
"ENSG00000033800",31,43,30,45,22,13
"ENSG00000101347",17,27,42,20,7,9
"ENSG00000143153",185,166,53,176,53,75
"ENSG00000164305",25,40,52,29,29,40
"ENSG00000028203",17,20,32,33,19,27
"ENSG00000133597",15,14,41,20,10,15
"ENSG00000124571",31,45,44,52,20,24
"ENSG00000117481",12,20,36,15,7,27
"ENSG00000185442",13,14,8,9,1,3
"ENSG00000121289",5,6,17,4,4,6
"ENSG00000005379",4,2,18,4,1,1
"ENSG00000135900",52,99,42,54,44,47
"ENSG00000126775",6,3,1,10,4,4
"ENSG00000186187",20,26,33,37,28,13
"ENSG00000076242",24,38,58,26,11,15
"ENSG00000051108",190,140,245,215,99,176
"ENSG00000144744",43,68,59,79,60,59
"ENSG00000130227",28,41,44,62,27,21
"ENSG00000141646",26,27,39,44,29,36
"ENSG00000127399",11,17,1,18,11,17
"ENSG00000136059",4,6,8,6,2,2
"ENSG00000147854",22,29,40,29,16,24
"ENSG00000085563",1,2,20,22,14,13
"ENSG00000077420",121,109,101,42,18,29
"ENSG00000163933",14,22,58,16,7,6
"ENSG00000143799",185,322,191,328,196,149
"ENSG00000125944",67,98,75,126,58,74
"ENSG00000168769",10,8,18,6,11,6
"ENSG00000154845",20,19,54,28,16,17
"ENSG00000006652",63,44,44,58,35,28
"ENSG00000168528",51,20,1,4,6,5
"ENSG00000013375",15,12,18,44,43,50
"ENSG00000100379",6,14,9,12,3,3
"ENSG00000146842",16,19,25,33,16,19
"ENSG00000134291",13,38,24,37,16,26
"ENSG00000156931",10,9,29,18,13,16
"ENSG00000090432",15,27,14,17,27,11
"ENSG00000125505",16,19,16,10,4,2
"ENSG00000105135",17,23,2,16,6,4
"ENSG00000132823",23,35,90,29,28,17
"ENSG00000234719",9,50,150,60,25,45
"ENSG00000020129",17,17,20,17,12,5
"ENSG00000023318",102,141,88,190,96,92
"ENSG00000125107",55,75,67,93,67,51
"ENSG00000168872",68,126,54,75,61,36
"ENSG00000176454",22,35,31,42,13,6
"ENSG00000136108",12,27,7,36,7,26
"ENSG00000159164",3,3,28,5,2,6
"ENSG00000081237",20,73,74,142,78,42
"ENSG00000171793",38,80,61,84,26,24
"ENSG00000165886",2,2,6,26,3,4
"ENSG00000198185",5,3,1,4,3,9
"ENSG00000112941",30,16,16,28,6,3
"ENSG00000143324",7,9,26,19,10,9
"ENSG00000051825",5,13,21,9,3,9
"ENSG00000100129",398,465,374,414,303,235
"ENSG00000077044",7,15,20,13,9,4
"ENSG00000094880",32,49,38,52,32,24
"ENSG00000005194",40,66,62,45,25,22
"ENSG00000131748",32,36,20,30,16,4
"ENSG00000242802",15,28,34,31,20,6
"ENSG00000143545",161,64,52,134,63,84
"ENSG00000065413",10,15,22,17,16,19
"ENSG00000057657",3,16,76,38,13,9
"ENSG00000272305",12,24,36,16,7,6
"ENSG00000141258",15,14,35,25,12,7
"ENSG00000033627",27,41,52,38,33,33
"ENSG00000101210",10,7,36,4,4,6
"ENSG00000090615",16,18,19,17,17,5
"ENSG00000108592",57,81,72,110,44,38
"ENSG00000254999",68,113,182,247,89,76
"ENSG00000117410",154,199,79,207,159,89
"ENSG00000205060",9,5,23,18,6,5
"ENSG00000145715",24,20,51,48,19,16
"ENSG00000110844",4,3,17,3,2,4
"ENSG00000088832",66,104,167,208,84,122
"ENSG00000063244",117,140,101,198,123,75
"ENSG00000009335",39,45,53,64,40,25
"ENSG00000118680",478,394,543,595,449,197
"ENSG00000120029",13,16,33,32,19,19
"ENSG00000123908",17,9,31,24,11,7
"ENSG00000145088",11,46,32,47,18,13
"ENSG00000165282",8,8,63,15,7,11
"ENSG00000140990",119,64,64,72,43,64
"ENSG00000129187",36,40,78,89,63,64
"ENSG00000167258",19,17,35,34,22,18
"ENSG00000142002",34,43,38,77,36,15
"ENSG00000168476",14,39,12,14,4,3
"ENSG00000163918",37,78,38,49,12,14
"ENSG00000047188",12,13,27,17,10,10
"ENSG00000142583",13,10,32,6,14,6
"ENSG00000105258",50,49,19,57,19,29
"ENSG00000074695",26,51,47,51,35,46
"ENSG00000180376",10,8,32,10,4,14
"ENSG00000111231",29,54,16,40,26,38
"ENSG00000239713",73,80,88,35,17,45
"ENSG00000214517",56,40,42,77,44,31
"ENSG00000155846",4,4,27,10,4,4
"ENSG00000115073",28,43,13,50,24,13
"ENSG00000122490",6,15,24,22,9,1
"ENSG00000244005",11,20,12,40,17,18
"ENSG00000256861",23,25,39,41,17,25
"ENSG00000163516",25,37,35,50,27,15
"ENSG00000137055",39,52,50,61,30,35
"ENSG00000015532",4,7,8,16,3,4
"ENSG00000108306",4,2,34,7,3,4
"ENSG00000242550",4,63,49,29,36,35
"ENSG00000003402",59,73,95,76,48,67
"ENSG00000005801",8,9,20,7,3,11
"ENSG00000125503",30,37,14,28,14,6
"ENSG00000166411",47,87,68,78,24,34
"ENSG00000112078",13,19,86,35,21,28
"ENSG00000159388",34,70,16,131,32,9
"ENSG00000183283",55,62,34,84,60,43
"ENSG00000141252",6,10,26,12,13,12
"ENSG00000175137",17,15,14,20,17,5
"ENSG00000086062",30,32,60,79,51,17
"ENSG00000170464",8,10,20,14,5,6
"ENSG00000254087",165,125,171,258,208,140
"ENSG00000048828",39,69,43,76,44,28
"ENSG00000105856",14,17,56,24,13,14
"ENSG00000119878",28,26,44,49,24,15
"ENSG00000008869",7,11,20,10,5,12
"ENSG00000156671",10,7,22,18,13,26
"ENSG00000075131",17,33,42,31,5,13
"ENSG00000126705",3,4,2,3,1,4
"ENSG00000182973",35,51,48,33,26,19
"ENSG00000141452",54,57,35,35,18,19
"ENSG00000196914",10,10,31,34,15,14
"ENSG00000164620",3,10,19,9,1,9
"ENSG00000143222",83,124,161,209,80,127
"ENSG00000144567",27,20,59,56,42,17
"ENSG00000015133",14,14,14,16,13,6
