"GM18558","GM18960","GM19240","Judith","Leo","Maryke"
"LTR35B",21,12,0,45,7,21
"LTR36",23,20,0,124,59,40
"LTR37A",123,80,34,1049,521,235
"LTR37B",212,53,67,521,202,77
"LTR38-int",0,0,0,56,19,14
"LTR38",24,12,19,34,7,11
"LTR38B",4,6,0,16,4,2
"LTR38C",15,19,0,63,17,19
"LTR39-int",3,0,0,73,14,5
"LTR39",112,72,1,303,85,79
"LTR3",11,15,0,433,186,115
"LTR3A",103,127,111,56,27,10
"LTR3B",7,1,0,66,6,10
"LTR3B_",19,9,0,36,10,0
"LTR40A1",14,14,47,211,103,48
"LTR40a",233,59,111,360,128,103
"LTR40b",166,64,110,296,112,83
"LTR40c",90,40,29,324,149,200
"LTR41",248,164,330,351,141,84
"LTR41B",91,71,179,197,111,43
"LTR42",118,43,45,281,145,62
"LTR43-int",35,24,0,30,27,0
"LTR43",134,49,111,387,233,146
"LTR43B",24,11,13,122,36,29
"LTR44",27,10,0,110,32,49
"LTR45",3,2,0,27,9,7
"LTR45B",62,37,2,172,53,14
"LTR45C",188,134,0,125,37,36
"LTR46-int",35,5,0,21,0,4
"LTR46",102,31,18,44,7,13
"LTR47A",91,42,0,166,27,44
"LTR47B",82,26,68,20,3,0
"LTR48",58,41,37,501,280,144
"LTR48B",152,141,129,381,181,158
"LTR49-int",515,172,146,1006,949,419
"LTR49",146,58,0,279,99,120
"LTR4",30,1,39,243,66,93
"LTR50",305,101,89,1880,978,644
"LTR51",46,13,43,102,24,19
"LTR52-int",11,6,35,31,15,13
"LTR52",57,32,20,237,106,22
"LTR53",111,121,42,157,57,95
"LTR54",194,71,90,357,104,90
"LTR54B",54,30,6,175,68,58
"LTR55",33,5,0,198,66,62
"LTR56",102,52,22,419,170,131
"LTR57-int",43,31,29,87,15,56
"LTR57",33,25,11,28,15,1
"LTR58",3,0,0,1,1,0
"LTR59",8,11,0,11,2,11
"LTR5",6,6,0,450,157,60
"LTR5A",217,124,184,194,38,37
"LTR5B",743,329,225,451,136,66
"LTR60",12,10,0,1,0,1
"LTR61",94,71,8,82,38,9
"LTR62",35,15,79,232,58,64
"LTR64",60,21,0,331,167,73
"LTR65",91,48,47,105,26,27
"LTR66",18,7,59,207,88,61
"LTR67B",303,265,196,963,347,234
"LTR68",36,14,22,65,29,7
"LTR69",6,1,0,24,4,24
"LTR6A",99,97,147,353,77,2
"LTR6B",21,23,10,46,25,9
"LTR70",133,55,62,50,0,0
"LTR71A",16,22,6,127,75,35
"LTR71B",40,15,10,93,33,25
"LTR72",40,28,1,57,11,0
"LTR72B",5,1,8,38,11,15
"LTR73",36,14,0,233,121,88
"LTR75",62,35,24,91,37,29
"LTR75B",7,4,0,16,10,6
"LTR75_1",12,7,24,103,50,25
"LTR76",106,66,42,14,25,3
"LTR77",3,8,0,61,30,19
"LTR78",496,271,125,3946,2557,1589
"LTR78B",162,63,35,777,298,154
"LTR79",304,204,143,788,336,280
"LTR7",189,129,158,909,512,235
"LTR7B",158,72,51,406,136,137
"LTR7C",76,30,53,203,74,15
"LTR7Y",24,5,13,27,5,11
"LTR80A",18,9,5,191,130,30
"LTR80B",14,5,0,104,14,22
"LTR81",9,4,0,38,15,6
"LTR81A",37,26,65,237,96,114
"LTR81AB",6,0,0,30,13,0
"LTR81B",54,19,133,201,65,63
"LTR81C",34,13,0,446,252,201
"LTR82A",65,32,37,318,155,112
"LTR82B",91,45,120,501,154,97
"LTR83",38,25,0,201,75,28
"LTR84a",47,43,0,309,188,133
"LTR84b",53,43,26,230,57,19
"LTR85a",248,387,126,555,221,238
"LTR85b",49,24,16,248,84,66
