"gene","Judith","Leo","Maryke"
"320","ENSPTRG00000000815",17,7,11
"321","ENSPTRG00000000816",7,4,10
"322","ENSPTRG00000000820",29,23,13
"323","ENSPTRG00000000825",154,42,29
"324","ENSPTRG00000000827",19,23,28
"325","ENSPTRG00000000829",3,3,29
"326","ENSPTRG00000000830",21,7,36
"327","ENSPTRG00000000831",51,23,19
"328","ENSPTRG00000000837",26,15,14
"329","ENSPTRG00000000838",14,7,12
"330","ENSPTRG00000000839",2,1,11
"331","ENSPTRG00000000840",20,14,6
"332","ENSPTRG00000000842",72,63,47
"333","ENSPTRG00000000843",6,2,2
"334","ENSPTRG00000000845",1,2,7
"335","ENSPTRG00000000847",6,1,25
"336","ENSPTRG00000000850",34,18,28
"337","ENSPTRG00000000852",138,59,71
"338","ENSPTRG00000000853",38,25,32
"339","ENSPTRG00000000854",6,8,4
"340","ENSPTRG00000000856",83,42,32
"341","ENSPTRG00000000865",134,73,53
"342","ENSPTRG00000000867",41,34,18
"343","ENSPTRG00000000871",36,18,18
"344","ENSPTRG00000000878",21,8,14
"345","ENSPTRG00000000881",13,10,11
"346","ENSPTRG00000000882",35,18,22
"347","ENSPTRG00000000884",3,2,8
"348","ENSPTRG00000000886",13,2,5
"349","ENSPTRG00000000888",238,108,98
"350","ENSPTRG00000000889",70,29,31
"351","ENSPTRG00000000892",36,6,12
"352","ENSPTRG00000000893",56,17,27
"353","ENSPTRG00000000898",11,17,26
"354","ENSPTRG00000000899",34,38,18
"355","ENSPTRG00000000901",121,73,46
"356","ENSPTRG00000000902",373,358,198
"357","ENSPTRG00000000904",12,10,22
"358","ENSPTRG00000000906",9,5,12
"359","ENSPTRG00000000908",76,43,36
"360","ENSPTRG00000000909",5,2,6
"361","ENSPTRG00000000910",2,2,6
"362","ENSPTRG00000000913",14,11,22
"363","ENSPTRG00000000914",18,22,10
"364","ENSPTRG00000000917",38,29,25
"365","ENSPTRG00000000919",40,12,12
"366","ENSPTRG00000000925",102,78,74
"367","ENSPTRG00000000926",112,67,110
"368","ENSPTRG00000000927",10,6,13
"369","ENSPTRG00000000929",63,18,22
"370","ENSPTRG00000000931",15,11,14
"371","ENSPTRG00000000932",58,52,46
"372","ENSPTRG00000000934",38,19,18
"373","ENSPTRG00000000935",145,63,42
"374","ENSPTRG00000000937",163,122,86
"375","ENSPTRG00000000938",162,60,20
"376","ENSPTRG00000000939",30,4,4
"377","ENSPTRG00000000940",4,1,2
"378","ENSPTRG00000000945",32,10,16
"379","ENSPTRG00000000947",15,20,10
"380","ENSPTRG00000000948",4,2,6
"381","ENSPTRG00000000952",4,5,2
"382","ENSPTRG00000000958",3,1,12
"383","ENSPTRG00000000959",10,4,15
"384","ENSPTRG00000000960",15,10,12
"385","ENSPTRG00000000962",8,4,13
"386","ENSPTRG00000000963",1326,910,912
"387","ENSPTRG00000000965",33,16,16
"388","ENSPTRG00000000966",44,68,30
"389","ENSPTRG00000000967",9,2,10
"390","ENSPTRG00000000969",109,63,62
"391","ENSPTRG00000000970",6,5,8
"392","ENSPTRG00000000971",1,2,5
"393","ENSPTRG00000000972",127,67,50
"394","ENSPTRG00000000973",116,60,57
"395","ENSPTRG00000000976",33,10,15
"396","ENSPTRG00000000979",36,76,14
"397","ENSPTRG00000000980",8,4,24
"398","ENSPTRG00000000984",4,2,3
"399","ENSPTRG00000000987",6,5,12
"400","ENSPTRG00000000990",7,5,4
"401","ENSPTRG00000000992",4,6,19
"402","ENSPTRG00000000996",9,12,6
"403","ENSPTRG00000000997",18,10,15
"404","ENSPTRG00000000998",15,8,8
"405","ENSPTRG00000000999",84,48,30
"406","ENSPTRG00000001000",11,5,13
"407","ENSPTRG00000001001",19,10,13
"408","ENSPTRG00000001002",5,1,4
"409","ENSPTRG00000001003",14,8,6
"410","ENSPTRG00000001004",41,29,37
"411","ENSPTRG00000001007",10,6,12
"412","ENSPTRG00000001011",14,10,13
"413","ENSPTRG00000001012",28,18,16
"414","ENSPTRG00000001026",32,25,12
"415","ENSPTRG00000001030",8,2,10
"416","ENSPTRG00000001032",42,23,24
"417","ENSPTRG00000001034",47,33,19
"418","ENSPTRG00000001037",11,6,4
"419","ENSPTRG00000001038",29,13,19
"420","ENSPTRG00000001039",21,12,7
"421","ENSPTRG00000001040",51,28,30
"422","ENSPTRG00000001043",213,135,159
"423","ENSPTRG00000001046",15,3,6
"424","ENSPTRG00000001048",355,108,225
"425","ENSPTRG00000001051",32,12,3
"426","ENSPTRG00000001052",3,2,6
"427","ENSPTRG00000001055",184,99,44
"428","ENSPTRG00000001057",36,10,10
"429","ENSPTRG00000001060",221,58,38
"430","ENSPTRG00000001066",15,4,2
"431","ENSPTRG00000001067",55,27,17
"432","ENSPTRG00000001069",28,17,16
"433","ENSPTRG00000001074",5,2,12
"434","ENSPTRG00000001078",260,158,74
"435","ENSPTRG00000001085",271,178,176
"436","ENSPTRG00000001086",16,13,10
"437","ENSPTRG00000001087",100,68,45
"438","ENSPTRG00000001089",51,31,25
"439","ENSPTRG00000001090",17,16,27
"440","ENSPTRG00000001092",92,73,1
"441","ENSPTRG00000001095",10,7,9
"442","ENSPTRG00000001098",65,30,27
"443","ENSPTRG00000001099",211,106,106
"444","ENSPTRG00000001102",210,136,133
"445","ENSPTRG00000001104",4,2,4
"446","ENSPTRG00000001105",60,12,15
"447","ENSPTRG00000001109",8,5,9
"448","ENSPTRG00000001110",205,147,116
"449","ENSPTRG00000001111",65,22,19
"450","ENSPTRG00000001112",125,71,91
"451","ENSPTRG00000001116",46,21,11
"452","ENSPTRG00000001120",22,13,9
"453","ENSPTRG00000001121",3,2,9
"454","ENSPTRG00000001123",18,8,25
"455","ENSPTRG00000001124",13,6,4
"456","ENSPTRG00000001125",14,6,11
"457","ENSPTRG00000001127",27,9,13
"458","ENSPTRG00000001128",7,3,9
"459","ENSPTRG00000001130",15,18,6
"460","ENSPTRG00000001133",18,10,6
"461","ENSPTRG00000001136",117,33,31
"462","ENSPTRG00000001140",97,74,23
"463","ENSPTRG00000001142",17,13,6
"464","ENSPTRG00000001152",270,106,109
"465","ENSPTRG00000001153",81,43,88
"466","ENSPTRG00000001154",21,14,9
"467","ENSPTRG00000001157",6,6,20
"468","ENSPTRG00000001162",40,18,21
"469","ENSPTRG00000001163",7,1,1
"470","ENSPTRG00000001167",16,11,9
"471","ENSPTRG00000001168",32,16,16
"472","ENSPTRG00000001170",56,25,21
"473","ENSPTRG00000001173",8,3,3
"474","ENSPTRG00000001178",163,68,50
"475","ENSPTRG00000001188",11,10,6
"476","ENSPTRG00000001194",6,3,7
"477","ENSPTRG00000001197",62,18,44
"478","ENSPTRG00000001198",35,11,42
"479","ENSPTRG00000001200",15,7,14
