"gene","GM18558","GM18960","GM19240"
"532","ENSG00000064489",15,21,19
"533","ENSG00000064490",55,85,41
"534","ENSG00000064545",9,15,7
"535","ENSG00000064601",90,95,70
"536","ENSG00000064607",26,39,58
"537","ENSG00000064651",16,15,23
"538","ENSG00000064652",7,5,1
"539","ENSG00000064655",1,1,7
"540","ENSG00000064666",69,191,78
"541","ENSG00000064687",6,7,27
"542","ENSG00000064703",19,26,72
"543","ENSG00000064886",125,237,156
"544","ENSG00000064932",20,21,15
"545","ENSG00000064933",10,21,12
"546","ENSG00000064961",24,46,49
"547","ENSG00000064995",20,28,88
"548","ENSG00000064999",4,4,21
"549","ENSG00000065000",56,70,48
"550","ENSG00000065029",9,14,4
"551","ENSG00000065057",17,44,8
"552","ENSG00000065060",10,13,47
"553","ENSG00000065135",87,123,74
"554","ENSG00000065150",98,170,75
"555","ENSG00000065154",11,18,36
"556","ENSG00000065183",36,57,47
"557","ENSG00000065268",19,57,19
"558","ENSG00000065328",5,18,24
"559","ENSG00000065357",14,20,35
"560","ENSG00000065413",10,15,22
"561","ENSG00000065427",134,217,168
"562","ENSG00000065457",6,8,34
"563","ENSG00000065485",7,10,64
"564","ENSG00000065491",13,11,46
"565","ENSG00000065518",182,227,150
"566","ENSG00000065526",22,17,20
"567","ENSG00000065548",114,144,70
"568","ENSG00000065559",17,21,44
"569","ENSG00000065613",28,16,48
"570","ENSG00000065615",30,42,26
"571","ENSG00000065665",8,7,35
"572","ENSG00000065802",9,14,4
"573","ENSG00000065809",41,22,39
"574","ENSG00000065833",11,22,38
"575","ENSG00000065882",17,27,64
"576","ENSG00000065883",19,20,41
"577","ENSG00000065911",146,162,140
"578","ENSG00000065923",11,21,38
"579","ENSG00000065970",7,6,22
"580","ENSG00000065978",587,900,647
"581","ENSG00000065989",13,12,33
"582","ENSG00000066027",34,62,37
"583","ENSG00000066044",50,90,120
"584","ENSG00000066084",14,13,18
"585","ENSG00000066117",38,54,38
"586","ENSG00000066135",16,16,17
"587","ENSG00000066136",25,36,23
"588","ENSG00000066279",5,14,53
"589","ENSG00000066322",62,69,99
"590","ENSG00000066336",23,25,7
"591","ENSG00000066427",13,14,20
"592","ENSG00000066455",20,34,61
"593","ENSG00000066557",23,34,25
"594","ENSG00000066583",40,31,41
"595","ENSG00000066651",20,22,37
"596","ENSG00000066739",8,7,25
"597","ENSG00000066777",15,16,34
"598","ENSG00000066827",29,39,50
"599","ENSG00000066855",12,20,51
"600","ENSG00000066923",14,20,96
"601","ENSG00000066926",12,17,51
"602","ENSG00000066933",3,3,6
"603","ENSG00000067057",77,126,63
"604","ENSG00000067066",30,54,69
"605","ENSG00000067082",39,26,38
"606","ENSG00000067167",70,87,119
"607","ENSG00000067177",2,2,13
"608","ENSG00000067182",33,10,13
"609","ENSG00000067191",7,4,33
"610","ENSG00000067221",3,6,13
"611","ENSG00000067225",626,661,797
"612","ENSG00000067334",102,117,50
"613","ENSG00000067365",10,9,30
"614","ENSG00000067369",24,24,21
"615","ENSG00000067445",3,4,28
"616","ENSG00000067533",50,71,34
"617","ENSG00000067560",236,325,531
"618","ENSG00000067596",24,33,23
"619","ENSG00000067601",4,4,15
"620","ENSG00000067606",2,5,4
"621","ENSG00000067704",40,80,46
"622","ENSG00000067829",56,78,86
"623","ENSG00000067836",4,11,33
"624","ENSG00000067900",41,39,41
"625","ENSG00000067955",18,22,33
"626","ENSG00000067992",27,16,37
"627","ENSG00000068001",6,20,8
"628","ENSG00000068028",30,21,4
"629","ENSG00000068079",22,62,29
"630","ENSG00000068120",56,52,47
"631","ENSG00000068137",3,10,2
"632","ENSG00000068305",17,20,40
"633","ENSG00000068308",41,62,67
"634","ENSG00000068323",23,32,43
"635","ENSG00000068354",5,6,16
"636","ENSG00000068366",38,33,40
"637","ENSG00000068383",8,15,7
"638","ENSG00000068394",27,43,69
"639","ENSG00000068400",49,35,74
"640","ENSG00000068438",30,44,31
"641","ENSG00000068650",4,6,22
"642","ENSG00000068654",8,26,28
"643","ENSG00000068697",163,110,72
"644","ENSG00000068724",14,27,34
"645","ENSG00000068745",18,22,46
"646","ENSG00000068784",8,16,39
"647","ENSG00000068793",25,34,37
"648","ENSG00000068796",27,39,59
"649","ENSG00000068831",3,4,16
"650","ENSG00000068878",43,37,36
"651","ENSG00000068903",33,33,24
"652","ENSG00000068971",22,11,24
"653","ENSG00000069248",21,36,30
"654","ENSG00000069275",96,164,50
"655","ENSG00000069329",92,112,66
"656","ENSG00000069345",99,122,139
"657","ENSG00000069399",12,9,17
"658","ENSG00000069424",53,94,57
"659","ENSG00000069493",21,28,56
"660","ENSG00000069849",124,172,98
"661","ENSG00000069869",2,2,24
"662","ENSG00000069943",8,9,19
"663","ENSG00000069956",31,38,56
"664","ENSG00000069966",15,19,7
"665","ENSG00000069974",19,23,26
"666","ENSG00000069998",9,17,41
"667","ENSG00000070010",76,112,124
"668","ENSG00000070047",12,17,15
"669","ENSG00000070061",30,30,43
"670","ENSG00000070081",9,12,42
"671","ENSG00000070087",2,10,48
"672","ENSG00000070190",35,33,46
"673","ENSG00000070214",8,25,26
"674","ENSG00000070269",5,5,38
"675","ENSG00000070366",10,13,34
"676","ENSG00000070367",43,50,58
"677","ENSG00000070404",1,3,3
"678","ENSG00000070413",6,14,12
"679","ENSG00000070423",26,33,8
"680","ENSG00000070444",6,2,1
"681","ENSG00000070476",5,6,48
"682","ENSG00000070495",65,43,28
"683","ENSG00000070501",29,42,26
"684","ENSG00000070610",31,24,26
"685","ENSG00000070614",5,9,17
"686","ENSG00000070669",74,159,62
"687","ENSG00000070718",15,22,30
"688","ENSG00000070756",824,1257,1087
"689","ENSG00000070761",59,52,20
"690","ENSG00000070770",76,70,72
"691","ENSG00000070785",19,35,55
"692","ENSG00000070814",18,39,31
"693","ENSG00000070831",298,260,426
"694","ENSG00000070882",17,19,29
"695","ENSG00000070950",12,20,20
"696","ENSG00000070961",16,34,33
"697","ENSG00000071051",18,24,26
"698","ENSG00000071054",4,5,22
"699","ENSG00000071073",2,1,18
"700","ENSG00000071082",961,1184,1251
"701","ENSG00000071127",165,314,188
"702","ENSG00000071189",8,7,22
"703","ENSG00000071205",26,37,46
"704","ENSG00000071243",17,23,18
"705","ENSG00000071246",4,5,19
"706","ENSG00000071462",52,90,78
"707","ENSG00000071537",22,34,37
"708","ENSG00000071539",8,17,14
"709","ENSG00000071553",65,76,70
"710","ENSG00000071564",18,47,26
"711","ENSG00000071626",52,114,44
"712","ENSG00000071655",19,39,4
"713","ENSG00000071794",10,22,17
"714","ENSG00000071859",148,114,187
"715","ENSG00000071889",8,14,4
"716","ENSG00000071894",29,38,21
"717","ENSG00000071909",1,2,32
"718","ENSG00000071967",11,27,7
"719","ENSG00000071994",49,61,79
"720","ENSG00000072042",26,47,47
"721","ENSG00000072062",30,60,73
"722","ENSG00000072110",24,41,9
"723","ENSG00000072121",13,16,34
"724","ENSG00000072133",2,2,15
"725","ENSG00000072134",4,5,14
"726","ENSG00000072135",4,5,9
"727","ENSG00000072210",14,22,32
"728","ENSG00000072274",70,136,143
"729","ENSG00000072310",10,7,27
"730","ENSG00000072364",16,8,21
"731","ENSG00000072501",19,38,39
"732","ENSG00000072506",68,146,79
"733","ENSG00000072518",16,20,26
"734","ENSG00000072571",7,29,21
"735","ENSG00000072609",10,19,31
"736","ENSG00000072682",8,7,23
"737","ENSG00000072694",54,58,68
"738","ENSG00000072736",11,10,22
"739","ENSG00000072756",22,42,48
"740","ENSG00000072778",181,182,240
"741","ENSG00000072786",68,54,51
"742","ENSG00000072803",21,20,13
"743","ENSG00000072818",52,75,55
"744","ENSG00000072849",30,47,49
"745","ENSG00000072858",8,13,24
"746","ENSG00000072864",30,32,42
"747","ENSG00000072954",20,25,33
"748","ENSG00000072958",46,62,51
"749","ENSG00000073009",15,25,26
"750","ENSG00000073050",29,49,29
"751","ENSG00000073060",68,74,62
"752","ENSG00000073111",38,125,58
"753","ENSG00000073169",8,17,18
"754","ENSG00000073282",1,6,14
"755","ENSG00000073331",8,7,20
"756","ENSG00000073417",15,19,33
"757","ENSG00000073536",20,28,11
"758","ENSG00000073578",84,140,84
"759","ENSG00000073584",102,132,91
"760","ENSG00000073605",12,8,19
"761","ENSG00000073614",15,14,29
"762","ENSG00000073712",2,7,12
"763","ENSG00000073849",30,47,102
"764","ENSG00000073861",9,4,15
"765","ENSG00000073921",28,29,27
"766","ENSG00000073969",20,26,46
"767","ENSG00000074054",18,21,13
"768","ENSG00000074071",20,43,6
"769","ENSG00000074201",54,129,99
"770","ENSG00000074266",60,96,72
"771","ENSG00000074319",62,113,99
"772","ENSG00000074356",19,23,26
