"gene","Guchi","Jaqo","Jingjing"
"292","ENSPPYG00000000899",4,6,3
"293","ENSPPYG00000000900",23,28,6
"294","ENSPPYG00000000905",41,53,7
"295","ENSPPYG00000000907",30,46,57
"296","ENSPPYG00000000908",68,72,127
"297","ENSPPYG00000000909",16,21,23
"298","ENSPPYG00000000912",73,99,8
"299","ENSPPYG00000000928",16,24,12
"300","ENSPPYG00000000929",70,104,393
"301","ENSPPYG00000000931",14,16,14
"302","ENSPPYG00000000936",15,22,30
"303","ENSPPYG00000000937",26,24,25
"304","ENSPPYG00000000940",11,19,13
"305","ENSPPYG00000000946",14,19,9
"306","ENSPPYG00000000948",11,17,16
"307","ENSPPYG00000000955",4,8,13
"308","ENSPPYG00000000957",39,49,1
"309","ENSPPYG00000000958",2,2,6
"310","ENSPPYG00000000962",34,73,80
"311","ENSPPYG00000000969",48,31,11
"312","ENSPPYG00000000970",31,35,6
"313","ENSPPYG00000000973",10,15,15
"314","ENSPPYG00000000975",2,4,1
"315","ENSPPYG00000000976",7,8,18
"316","ENSPPYG00000000982",30,46,39
"317","ENSPPYG00000000985",112,124,19
"318","ENSPPYG00000000995",6,17,55
"319","ENSPPYG00000000996",160,298,41
"320","ENSPPYG00000000997",21,58,9
"321","ENSPPYG00000001000",28,40,26
"322","ENSPPYG00000001004",7,20,1
"323","ENSPPYG00000001006",9,10,13
"324","ENSPPYG00000001008",8,12,8
"325","ENSPPYG00000001010",6,8,13
"326","ENSPPYG00000001011",7,7,3
"327","ENSPPYG00000001014",27,34,11
"328","ENSPPYG00000001018",2,1,14
"329","ENSPPYG00000001019",68,31,34
"330","ENSPPYG00000001020",21,35,125
"331","ENSPPYG00000001028",76,84,39
"332","ENSPPYG00000001032",123,135,152
"333","ENSPPYG00000001033",63,44,46
"334","ENSPPYG00000001035",4,5,25
"335","ENSPPYG00000001039",4,17,6
"336","ENSPPYG00000001040",27,40,16
"337","ENSPPYG00000001041",56,56,31
"338","ENSPPYG00000001043",87,97,12
"339","ENSPPYG00000001049",39,45,191
"340","ENSPPYG00000001051",5,5,26
"341","ENSPPYG00000001057",18,18,10
"342","ENSPPYG00000001058",19,36,4
"343","ENSPPYG00000001059",6,30,8
"344","ENSPPYG00000001064",35,16,38
"345","ENSPPYG00000001065",21,20,26
"346","ENSPPYG00000001066",17,31,12
"347","ENSPPYG00000001067",22,32,4
"348","ENSPPYG00000001069",47,90,12
"349","ENSPPYG00000001073",4,15,8
"350","ENSPPYG00000001075",124,97,470
"351","ENSPPYG00000001080",104,146,176
"352","ENSPPYG00000001083",9,34,16
"353","ENSPPYG00000001084",12,49,14
"354","ENSPPYG00000001085",7,11,3
"355","ENSPPYG00000001087",3,15,10
"356","ENSPPYG00000001090",18,42,15
"357","ENSPPYG00000001092",16,25,7
"358","ENSPPYG00000001102",11,25,13
"359","ENSPPYG00000001107",18,16,5
"360","ENSPPYG00000001114",2,5,2
"361","ENSPPYG00000001115",26,22,17
"362","ENSPPYG00000001119",2,4,1
"363","ENSPPYG00000001120",7,15,10
"364","ENSPPYG00000001121",4,10,12
"365","ENSPPYG00000001124",11,17,11
"366","ENSPPYG00000001134",5,5,20
"367","ENSPPYG00000001136",8,6,3
"368","ENSPPYG00000001137",35,55,10
"369","ENSPPYG00000001140",11,16,22
"370","ENSPPYG00000001143",11,42,40
"371","ENSPPYG00000001145",1,3,21
"372","ENSPPYG00000001147",66,35,20
"373","ENSPPYG00000001149",17,46,11
"374","ENSPPYG00000001150",13,18,14
"375","ENSPPYG00000001151",2,5,19
"376","ENSPPYG00000001152",1002,1247,1296
"377","ENSPPYG00000001153",1,3,5
"378","ENSPPYG00000001154",11,16,8
"379","ENSPPYG00000001155",8,10,19
"380","ENSPPYG00000001162",5,11,7
"381","ENSPPYG00000001164",8,12,5
"382","ENSPPYG00000001166",13,17,14
