"name","family","class","Judith","Leo","Maryke"
"316","L1MD2","L1","LINE",5460,2209,1450
"317","L1MD3","L1","LINE",1330,486,293
"318","L1MD","L1","LINE",3987,1417,910
"319","L1MDa","L1","LINE",3663,1738,850
"320","L1MDb","L1","LINE",580,197,76
"321","L1ME1","L1","LINE",18040,7557,4928
"322","L1ME2","L1","LINE",5930,2124,1301
"323","L1ME2z","L1","LINE",2876,1256,752
"324","L1ME3","L1","LINE",6657,2705,2426
"325","L1ME3A","L1","LINE",8706,3816,2504
"326","L1ME3B","L1","LINE",8544,3909,2693
"327","L1ME3C","L1","LINE",1912,1011,696
"328","L1ME3Cz","L1","LINE",10106,4486,2526
"329","L1ME3D","L1","LINE",1206,527,493
"330","L1ME3E","L1","LINE",1624,705,396
"331","L1ME3F","L1","LINE",2000,1013,529
"332","L1ME3G","L1","LINE",8672,3476,2523
"333","L1ME4a","L1","LINE",11432,5161,3217
"334","L1ME4b","L1","LINE",7995,3349,2122
"335","L1ME4c","L1","LINE",3837,1971,1014
"336","L1ME5","L1","LINE",752,234,230
"337","L1MEa","L1","LINE",48,24,16
"338","L1MEb","L1","LINE",491,211,61
"339","L1MEc","L1","LINE",7903,3290,2278
"340","L1MEd","L1","LINE",6059,2386,1882
"341","L1MEf","L1","LINE",17581,10547,2696
"342","L1MEg1","L1","LINE",169,33,29
"343","L1MEg2","L1","LINE",424,212,135
"344","L1MEg","L1","LINE",5180,2360,1512
"345","L1MEh","L1","LINE",1332,651,2915
"346","L1MEi","L1","LINE",7565,2998,1879
"347","L1MEj","L1","LINE",631,349,216
"348","L1P1","L1","LINE",1535,1003,966
"349","L1P2","L1","LINE",1463,632,537
"350","L1P3","L1","LINE",1938,1074,591
"351","L1P3b","L1","LINE",10,1,0
"352","L1P4","L1","LINE",3128,1952,1077
"353","L1P4a","L1","LINE",461,166,115
"354","L1P4b","L1","LINE",16,2,0
"355","L1P4c","L1","LINE",13,3,6
"356","L1P4d","L1","LINE",54,32,18
"357","L1P4e","L1","LINE",39,29,17
"358","L1P5","L1","LINE",40,16,21
"359","L1P","L1","LINE",3,0,0
"360","L1PA10","L1","LINE",4001,1524,956
"361","L1PA11","L1","LINE",3242,1241,893
"362","L1PA12","L1","LINE",1261,658,362
"363","L1PA13","L1","LINE",18637,10629,7158
"364","L1PA14","L1","LINE",2121,682,382
"365","L1PA15-16","L1","LINE",1279,437,512
"366","L1PA15","L1","LINE",4107,1650,1148
"367","L1PA16","L1","LINE",9952,4503,2785
"368","L1PA17","L1","LINE",5706,2083,1387
"369","L1PA2","L1","LINE",8441,3338,2529
"370","L1PA3","L1","LINE",22354,11058,6803
"371","L1PA4","L1","LINE",19107,9036,6326
"372","L1PA5","L1","LINE",14726,6416,3724
"373","L1PA6","L1","LINE",14119,5575,5124
"374","L1PA7","L1","LINE",15061,6831,4329
"375","L1PA8","L1","LINE",4373,1807,1055
"376","L1PA8A","L1","LINE",5671,2468,1553
"377","L1PB1","L1","LINE",13222,7384,4118
"378","L1PB2","L1","LINE",2372,1238,875
"379","L1PB3","L1","LINE",2968,1046,592
"380","L1PB4","L1","LINE",4954,1718,1806
"381","L1PB","L1","LINE",447,148,202
"382","L1PBa1","L1","LINE",461,152,107
"383","L1PBa","L1","LINE",1472,508,294
"384","L1PBb","L1","LINE",104,35,61
"385","L1PREC2","L1","LINE",4406,1819,1138
"386","L1Pt","L1","LINE",4750,1909,1503
"387","L2-1_AMi","L2","LINE",303,193,99
"388","L2-1_Crp","L2","LINE",6,2,0
"389","L2-2_Mam","L2","LINE",65,9,6
"390","L2","L2","LINE",20067,8917,5816
"391","L2a","L2","LINE",61632,25010,16040
"392","L2b","L2","LINE",33983,14686,9303
"393","L2c","L2","LINE",56529,25077,16591
"394","L2d2","L2","LINE",13042,5684,3578
"395","L2d","L2","LINE",8284,3605,2204
"396","L3","CR1","LINE",13518,5544,3579
"397","L3b","CR1","LINE",2994,994,958
"398","L4_A_Mam","RTE-X","LINE",2099,916,605
"399","L4_B_Mam","RTE-X","LINE",525,186,170
"400","L4_C_Mam","RTE-X","LINE",4249,2475,1760
"401","L5","RTE-X","LINE",42,21,18
"402","LOR1-int","ERV1","LTR",622,324,167
"403","LOR1a","ERV1","LTR",261,64,73
